timestamp,numero_controle,error_type,final_error
2025-07-03T14:33:55.158676,01105329000180-1-000100/2025,not_found,not_found
2025-07-03T14:33:55.358694,01612269000191-1-000027/2025,not_found,not_found
2025-07-03T14:33:56.014453,02401218000183-1-000002/2025,not_found,not_found
2025-07-03T14:33:59.817444,08241747000496-1-000035/2025,not_found,not_found
2025-07-03T14:34:00.026563,08999708000100-1-000031/2025,not_found,not_found
